FrameCounter,SystemTimestamp,LedState,ComputerTimestamp,R0,G1
0,157.933568,7,67786027.52,0.0207919531448943,0.00392307692307692
1,157.996032,2,67786087.8464,0.0207983193277311,0.00392156862745098
2,158.058528,4,67786150.1824,0.0208025634496223,0.00392307692307692
3,158.121024,1,67786212.7744,0.0207919531448943,0.00392156862745098
4,158.183552,2,67786275.2512,0.0207770987182752,0.00392156862745098
5,158.246016,4,67786337.7408,0.020679483914778,0.00392307692307692
6,158.308544,1,67786401.3824,0.0206837280366692,0.00392307692307692
7,158.37104,2,67786462.8992,0.0207516339869281,0.00392307692307692
8,158.433536,4,67786525.248,0.0207919531448943,0.00392156862745098
9,158.496032,1,67786587.7504,0.0207473898650369,0.00392156862745098
10,158.558528,2,67786650.2528,0.0207240471946354,0.00392307692307692
11,158.621024,4,67786712.768,0.0206837280366692,0.00392307692307692
12,158.683552,1,67786775.2704,0.0207601222307105,0.00392307692307692
13,158.746016,2,67786837.9008,0.0207134368899075,0.00392307692307692
14,158.808544,4,67786900.288,0.0207198030727443,0.00392156862745098
15,158.87104,1,67786962.8032,0.0207813428401664,0.00392156862745098
16,158.933536,2,67787025.3056,0.0207155589508531,0.00392307692307692
17,158.996032,4,67787087.808,0.0206688736100501,0.00392307692307692
18,159.058528,1,67787150.3872,0.0207664884135472,0.00392156862745098
19,159.121024,2,67787212.8384,0.0207198030727443,0.00392307692307692
20,159.18352,4,67787275.328,0.0208025634496223,0.00392156862745098
21,159.246016,1,67787337.8176,0.0207304133774722,0.00392307692307692
22,159.308544,2,67787400.3456,0.0207983193277311,0.00392156862745098
23,159.37104,4,67787462.848,0.0207134368899075,0.00392307692307692
24,159.433536,1,67787525.3248,0.0206837280366692,0.00392458521870287
25,159.496032,2,67787587.8528,0.0207558781088193,0.00392307692307692
26,159.558528,4,67787650.368,0.0208471267294797,0.00392458521870287
27,159.621024,1,67787712.8576,0.0207707325354384,0.00392156862745098
28,159.68352,2,67787775.3728,0.0208025634496223,0.00392156862745098
29,159.746048,4,67787837.8624,0.0207686104744928,0.00392156862745098
30,159.808544,1,67787900.3904,0.020808929632459,0.00392156862745098
31,159.87104,2,67787962.88,0.0207855869620575,0.00392156862745098
32,159.933536,4,67788025.3824,0.0207792207792208,0.00392307692307692
33,159.996032,1,67788087.9104,0.0207134368899075,0.00392156862745098
34,160.058528,2,67788150.4256,0.020808929632459,0.00392156862745098
35,160.121024,4,67788212.9152,0.0207473898650369,0.00392307692307692
36,160.183552,1,67788275.4176,0.0207558781088193,0.00392156862745098
37,160.246048,2,67788337.9584,0.0207940752058399,0.00392307692307692
38,160.308544,4,67788400.448,0.0207198030727443,0.00392156862745098
39,160.37104,1,67788462.9376,0.0207537560478737,0.00392156862745098
40,160.433536,2,67788525.4272,0.0208259061200238,0.00392307692307692
41,160.496032,4,67788587.9552,0.0207898310839487,0.00392156862745098
42,160.558528,1,67788650.4576,0.0207516339869281,0.00392156862745098
43,160.621024,2,67788712.96,0.0207346574993634,0.00392609351432881
44,160.683552,4,67788775.5008,0.0207664884135472,0.00392458521870287
45,160.746048,1,67788838.0032,0.0207431457431457,0.00392156862745098
46,160.808544,2,67788900.4928,0.0207855869620575,0.00392307692307692
47,160.87104,4,67788962.9952,0.0207940752058399,0.00392156862745098
48,160.933536,1,67789025.4976,0.0207601222307105,0.00392307692307692
49,160.996032,2,67789088.0256,0.020736779560309,0.00392156862745098
50,161.058528,4,67789150.4896,0.0207282913165266,0.00392307692307692
51,161.121024,1,67789213.0048,0.0207558781088193,0.00392156862745098
52,161.183552,2,67789275.52,0.0207940752058399,0.00392307692307692
53,161.246016,4,67789337.9968,0.0207749766573296,0.00392307692307692
54,161.308544,1,67789400.5376,0.0206985824632883,0.00392307692307692
55,161.37104,2,67789463.0272,0.0208343943638061,0.00392156862745098
56,161.433536,4,67789525.504,0.0208068075715135,0.00392156862745098
57,161.496032,1,67789588.0448,0.0207961972667855,0.00392156862745098
58,161.558528,2,67789650.5472,0.0207452678040913,0.00392156862745098
59,161.621024,4,67789713.0624,0.020783464901112,0.00392307692307692
60,161.683552,1,67789775.5904,0.0207346574993634,0.00392307692307692
61,161.746016,2,67789838.0672,0.0207537560478737,0.00392156862745098
62,161.808544,4,67789900.5952,0.0207940752058399,0.00392156862745098
63,161.87104,1,67789963.1104,0.020808929632459,0.00392156862745098
64,161.933536,2,67790025.5872,0.02086622527799,0.00392307692307692
