Cameraframes.Value,Cameraframes.Timestamp,Quinine_video,Airpuff_video,Sucrose_video,Quinine_stim
101,2025-08-14T22:09:59.5450368+01:00,0,0,0,0
102,2025-08-14T22:09:59.5605504+01:00,0,0,0,0
103,2025-08-14T22:09:59.5751424+01:00,0,0,0,0
104,2025-08-14T22:09:59.5901696+01:00,0,0,0,0
105,2025-08-14T22:09:59.6052608+01:00,0,0,0,0
106,2025-08-14T22:09:59.6206720+01:00,0,0,0,0
107,2025-08-14T22:09:59.6352896+01:00,0,0,0,0
108,2025-08-14T22:09:59.6503168+01:00,0,0,0,0
109,2025-08-14T22:09:59.6657792+01:00,0,0,0,0
110,2025-08-14T22:09:59.6804096+01:00,0,0,0,0
111,2025-08-14T22:09:59.6958336+01:00,0,0,0,0
112,2025-08-14T22:09:59.7104768+01:00,0,0,0,0
113,2025-08-14T22:09:59.7255552+01:00,0,0,0,0
114,2025-08-14T22:09:59.7406720+01:00,0,0,0,0
115,2025-08-14T22:09:59.7555200+01:00,0,0,0,0
116,2025-08-14T22:09:59.7712000+01:00,0,0,0,0
117,2025-08-14T22:09:59.7857024+01:00,0,0,0,0
118,2025-08-14T22:09:59.8007808+01:00,0,0,0,0
119,2025-08-14T22:09:59.8157440+01:00,0,0,0,0
120,2025-08-14T22:09:59.8313344+01:00,0,0,0,0
121,2025-08-14T22:09:59.8459264+01:00,0,0,0,0
122,2025-08-14T22:09:59.8608640+01:00,0,0,0,0
123,2025-08-14T22:09:59.8763904+01:00,0,0,0,0
124,2025-08-14T22:09:59.8909440+01:00,0,0,0,0
125,2025-08-14T22:09:59.9062912+01:00,0,0,0,0
126,2025-08-14T22:09:59.9210112+01:00,0,0,0,0
127,2025-08-14T22:09:59.9362176+01:00,0,0,0,0
128,2025-08-14T22:09:59.9511808+01:00,0,0,0,0
129,2025-08-14T22:09:59.9662976+01:00,0,0,0,0
130,2025-08-14T22:09:59.9816320+01:00,0,0,0,0
131,2025-08-14T22:09:59.9962496+01:00,0,0,0,0
132,2025-08-14T22:10:00.0112768+01:00,0,0,0,0
133,2025-08-14T22:10:00.0263168+01:00,0,0,0,0
134,2025-08-14T22:10:00.0418432+01:00,0,0,0,0
135,2025-08-14T22:10:00.0565376+01:00,0,0,0,0
136,2025-08-14T22:10:00.0714368+01:00,0,0,0,0
137,2025-08-14T22:10:00.0869504+01:00,0,0,0,0
138,2025-08-14T22:10:00.1015040+01:00,0,0,0,0
139,2025-08-14T22:10:00.1170176+01:00,0,0,0,0
140,2025-08-14T22:10:00.1316096+01:00,0,0,0,0
141,2025-08-14T22:10:00.1467520+01:00,0,0,0,0
142,2025-08-14T22:10:00.1619840+01:00,0,0,0,0
143,2025-08-14T22:10:00.1767296+01:00,0,0,0,0
144,2025-08-14T22:10:00.1921792+01:00,0,0,0,0
145,2025-08-14T22:10:00.2068224+01:00,0,0,0,0
146,2025-08-14T22:10:00.2219264+01:00,0,0,0,0
147,2025-08-14T22:10:00.2370048+01:00,0,0,0,0
148,2025-08-14T22:10:00.2523264+01:00,0,0,0,0
149,2025-08-14T22:10:00.2670464+01:00,0,0,0,0
150,2025-08-14T22:10:00.2821248+01:00,0,0,0,0
151,2025-08-14T22:10:00.2979328+01:00,0,0,0,0
152,2025-08-14T22:10:00.3121664+01:00,0,0,0,0
153,2025-08-14T22:10:00.3272192+01:00,0,0,0,0
154,2025-08-14T22:10:00.3422208+01:00,0,0,0,0
155,2025-08-14T22:10:00.3577984+01:00,0,0,0,0
156,2025-08-14T22:10:00.3723008+01:00,0,0,0,0
157,2025-08-14T22:10:00.3874176+01:00,0,0,0,0
158,2025-08-14T22:10:00.4024192+01:00,0,0,0,0
159,2025-08-14T22:10:00.4178176+01:00,0,0,0,0
160,2025-08-14T22:10:00.4324864+01:00,0,0,0,0
161,2025-08-14T22:10:00.4475264+01:00,0,0,0,0
162,2025-08-14T22:10:00.4629376+01:00,0,0,0,0
163,2025-08-14T22:10:00.4775936+01:00,0,0,0,0
164,2025-08-14T22:10:00.4930432+01:00,0,0,0,0
165,2025-08-14T22:10:00.5076864+01:00,0,0,0,0
166,2025-08-14T22:10:00.5227008+01:00,0,0,0,0
167,2025-08-14T22:10:00.5378432+01:00,0,0,0,0
168,2025-08-14T22:10:00.5528192+01:00,0,0,0,0
169,2025-08-14T22:10:00.5683456+01:00,0,0,0,0
170,2025-08-14T22:10:00.5828992+01:00,0,0,0,0
171,2025-08-14T22:10:00.5979520+01:00,0,0,0,0
172,2025-08-14T22:10:00.6129408+01:00,0,0,0,0
173,2025-08-14T22:10:00.6285312+01:00,0,0,0,0
174,2025-08-14T22:10:00.6431616+01:00,0,0,0,0
175,2025-08-14T22:10:00.6580864+01:00,0,0,0,0
176,2025-08-14T22:10:00.6736512+01:00,0,0,0,0
177,2025-08-14T22:10:00.6882048+01:00,0,0,0,0
178,2025-08-14T22:10:00.7040768+01:00,0,0,0,0
179,2025-08-14T22:10:00.7182848+01:00,0,0,0,0
180,2025-08-14T22:10:00.7333376+01:00,0,0,0,0
181,2025-08-14T22:10:00.7484928+01:00,0,0,0,0
182,2025-08-14T22:10:00.7639296+01:00,0,0,0,0
183,2025-08-14T22:10:00.7784064+01:00,0,0,0,0
184,2025-08-14T22:10:00.7934848+01:00,0,0,0,0
185,2025-08-14T22:10:00.8086272+01:00,0,0,0,0
186,2025-08-14T22:10:00.8240384+01:00,0,0,0,0
187,2025-08-14T22:10:00.8388096+01:00,0,0,0,0
188,2025-08-14T22:10:00.8538368+01:00,0,0,0,0
189,2025-08-14T22:10:00.8692096+01:00,0,0,0,0
190,2025-08-14T22:10:00.8837248+01:00,0,0,0,0
191,2025-08-14T22:10:00.8991616+01:00,0,0,0,0
192,2025-08-14T22:10:00.9137920+01:00,0,0,0,0
193,2025-08-14T22:10:00.9288192+01:00,0,0,0,0
194,2025-08-14T22:10:00.9439360+01:00,0,0,0,0
195,2025-08-14T22:10:00.9589760+01:00,0,0,0,0
196,2025-08-14T22:10:00.9745280+01:00,0,0,0,0
197,2025-08-14T22:10:00.9890432+01:00,0,0,0,0
198,2025-08-14T22:10:01.0040704+01:00,0,0,0,0
199,2025-08-14T22:10:01.0190720+01:00,0,0,0,0
200,2025-08-14T22:10:01.0346624+01:00,0,0,0,0
201,2025-08-14T22:10:01.0492160+01:00,0,0,0,0
202,2025-08-14T22:10:01.0642176+01:00,0,0,0,0
203,2025-08-14T22:10:01.0798848+01:00,0,0,0,0
204,2025-08-14T22:10:01.0943232+01:00,0,0,0,0
205,2025-08-14T22:10:01.1102080+01:00,0,0,0,0
206,2025-08-14T22:10:01.1243648+01:00,0,0,0,0
207,2025-08-14T22:10:01.1394560+01:00,0,0,0,0
208,2025-08-14T22:10:01.1544960+01:00,0,0,0,0
209,2025-08-14T22:10:01.1700864+01:00,0,0,0,0
210,2025-08-14T22:10:01.1845632+01:00,0,0,0,0
211,2025-08-14T22:10:01.1996288+01:00,0,0,0,0
212,2025-08-14T22:10:01.2146816+01:00,0,0,0,0
213,2025-08-14T22:10:01.2301952+01:00,0,0,0,0
214,2025-08-14T22:10:01.2447232+01:00,0,0,0,0
215,2025-08-14T22:10:01.2597376+01:00,0,0,0,0
216,2025-08-14T22:10:01.2752128+01:00,0,0,0,0
217,2025-08-14T22:10:01.2898304+01:00,0,0,0,0
218,2025-08-14T22:10:01.3052032+01:00,0,0,0,0
219,2025-08-14T22:10:01.3198976+01:00,0,0,0,0
220,2025-08-14T22:10:01.3349632+01:00,0,0,0,0
221,2025-08-14T22:10:01.3500544+01:00,0,0,0,0
222,2025-08-14T22:10:01.3650816+01:00,0,0,0,0
223,2025-08-14T22:10:01.3806208+01:00,0,0,0,0
224,2025-08-14T22:10:01.3951232+01:00,0,0,0,0
225,2025-08-14T22:10:01.4101888+01:00,0,0,0,0
226,2025-08-14T22:10:01.4252032+01:00,0,0,0,0
227,2025-08-14T22:10:01.4408320+01:00,0,0,0,0
228,2025-08-14T22:10:01.4553984+01:00,0,0,0,0
229,2025-08-14T22:10:01.4703744+01:00,0,0,0,0
230,2025-08-14T22:10:01.4858624+01:00,0,0,0,0
231,2025-08-14T22:10:01.5004160+01:00,0,0,0,0
232,2025-08-14T22:10:01.5163904+01:00,0,0,0,0
233,2025-08-14T22:10:01.5305472+01:00,0,0,0,0
234,2025-08-14T22:10:01.5455360+01:00,0,0,0,0
235,2025-08-14T22:10:01.5605760+01:00,0,0,0,0
236,2025-08-14T22:10:01.5761792+01:00,0,0,0,0
237,2025-08-14T22:10:01.5906560+01:00,0,0,0,0
238,2025-08-14T22:10:01.6057088+01:00,0,0,0,0
239,2025-08-14T22:10:01.6207360+01:00,0,0,0,0
240,2025-08-14T22:10:01.6363008+01:00,0,0,0,0
241,2025-08-14T22:10:01.6508672+01:00,0,0,0,0
242,2025-08-14T22:10:01.6658688+01:00,0,0,0,0
243,2025-08-14T22:10:01.6814080+01:00,0,0,0,0
244,2025-08-14T22:10:01.6960256+01:00,0,0,0,0
245,2025-08-14T22:10:01.7113472+01:00,0,0,0,0
246,2025-08-14T22:10:01.7261184+01:00,0,0,0,0
247,2025-08-14T22:10:01.7410688+01:00,0,0,0,0
248,2025-08-14T22:10:01.7561600+01:00,0,0,0,0
249,2025-08-14T22:10:01.7712384+01:00,0,0,0,0
250,2025-08-14T22:10:01.7867392+01:00,0,0,0,0
251,2025-08-14T22:10:01.8012288+01:00,0,0,0,0
252,2025-08-14T22:10:01.8163072+01:00,0,0,0,0
253,2025-08-14T22:10:01.8314112+01:00,0,0,0,0
254,2025-08-14T22:10:01.8468992+01:00,0,0,0,0
255,2025-08-14T22:10:01.8614400+01:00,0,0,0,0
256,2025-08-14T22:10:01.8764928+01:00,0,0,0,0
257,2025-08-14T22:10:01.8919552+01:00,0,0,0,0
258,2025-08-14T22:10:01.9066368+01:00,0,0,0,0
259,2025-08-14T22:10:01.9225472+01:00,0,0,0,0
260,2025-08-14T22:10:01.9366144+01:00,0,0,0,0
261,2025-08-14T22:10:01.9516672+01:00,0,0,0,0
262,2025-08-14T22:10:01.9667072+01:00,0,0,0,0
263,2025-08-14T22:10:01.9822976+01:00,0,0,0,0
264,2025-08-14T22:10:01.9967872+01:00,0,0,0,0
265,2025-08-14T22:10:02.0118912+01:00,0,0,0,0
266,2025-08-14T22:10:02.0268544+01:00,0,0,0,0
267,2025-08-14T22:10:02.0425088+01:00,0,0,0,0
268,2025-08-14T22:10:02.0569984+01:00,0,0,0,0
269,2025-08-14T22:10:02.0719616+01:00,0,0,0,0
270,2025-08-14T22:10:02.0875520+01:00,0,0,0,0
271,2025-08-14T22:10:02.1020928+01:00,0,0,0,0
272,2025-08-14T22:10:02.1174784+01:00,0,0,0,0
273,2025-08-14T22:10:02.1321472+01:00,0,0,0,0
274,2025-08-14T22:10:02.1471872+01:00,0,0,0,0
275,2025-08-14T22:10:02.1622784+01:00,0,0,0,0
276,2025-08-14T22:10:02.1773056+01:00,0,0,0,0
277,2025-08-14T22:10:02.1929472+01:00,0,0,0,0
278,2025-08-14T22:10:02.2073728+01:00,0,0,0,0
279,2025-08-14T22:10:02.2224128+01:00,0,0,0,0
280,2025-08-14T22:10:02.2375040+01:00,0,0,0,0
281,2025-08-14T22:10:02.2529920+01:00,0,0,0,0
282,2025-08-14T22:10:02.2675328+01:00,0,0,0,0
283,2025-08-14T22:10:02.2825728+01:00,0,0,0,0
284,2025-08-14T22:10:02.2981632+01:00,0,0,0,0
285,2025-08-14T22:10:02.3127168+01:00,0,0,0,0
